gen_z,normal
Brb gonna go process this jk moment lmao,"I will be right back, I need to process this just kidding moment honestly"
"Bro, you are literally giving deadass right now.","Bro, you are literally giving seriously right now."
Fyi everyone in this chat is imho,For your information everyone in this group is in my humble opinion
He pulled a manifestation clutch at the last second,He performed a believing you can attract what you want move at the last second
POV: you just experienced touch grass moment energy,"From my perspective, that energy was a situation where someone is too online"
Never seen anything more spawn kill in my entire life,I have never witnessed anything more attacking immediately after respawn in my entire life
Ily but that take was skill issue,I care about you but that opinion showed the problem is your own lack of skill
Oh absolutely love how pressed this all is,"I absolutely love how bothered, upset about something all of this is"
Idk why im being so big brain time atm,I do not know why I am so moment of clever thinking right now
dude how incredibly idc of them I'm shocked,"for real though how incredibly I don't care of them, I am genuinely shocked"
That fit is very glow up.,That outfit is very a major positive transformation.
Yes continue please this frfr is so helpful ong,"Yes please continue, this for real for real, seriously is so incredibly helpful and that is funny"
That respawn spot is spawn kill honestly,That respawn location is genuinely attacking immediately after respawn
Solo q be like: full team of wya players,Solo queue feels like a team of where are you players
Tell me why this is so soft launching,Can someone explain why this feels so subtly hinting at a new relationship
The audacity to be chronically online in public lmao,The boldness to display spending too much time online so publicly truly
He was being totally caught lacking af at the party.,He was being totally extremely caught lacking at the party.
Ngl smh the situation is very villain era,"Come on now i am disappointed, the situation is very acting selfishly, prioritizing yourself"
my whole situationshipp is just based and redpilled,My entire undefined relationship is just confident and aware of a harsh truth
fr tho he's being so chronically online today it's unreal,truly he is behaving in an extremely spending too much time online way today
Brain: sleep. also brain: think about dropping the class,Brain says sleep but also tells me to think about withdrawing from a course
omg ok but that's giving major dropping the class energy,I swear that situation is giving off major withdrawing from a course energy
The ratio + bozo is real today folks,The feeling of complete public embarrassment is very real today
not to be that person but yes because what we really needed was more chronically online,"come on now yes, because what we truly needed was more spending too much time online"
